"State","incarcerated_total","incarcerated_white","incarcerated_black","incarcerated_hispanic","incarcerated_amerind","incarcerated_asian","incarcerated_other","incarcerated_unknown","incarcerated_nonwhite","census.percent.black","census.percent.white","census.percent.other","census.total"
"Alabama",25195,11555,13428,NA,NA,NA,212,NA,13640,0.27188449,0.675525861,0.052589649,4767326
"Alaska",4624,1885,462,124,1854,253,46,NA,2739,0.034010129,0.676214187,0.289775683,643867
"Arizona",33855,13151,5104,13118,1871,NA,611,NA,20704,0.055104265,0.702282777,0.242612958,6154696
"Arkansas",17023,9646,6872,570,NA,NA,139,NA,7377,0.162184157,0.755736434,0.082079409,2797949
"California",99729,19786,28241,45213,NA,NA,6489,NA,79943,0.066227864,0.482447978,0.451324158,33777988
"Colorado",15642,6447,2705,4679,543,181,NA,NA,9195,0.046353328,0.805939901,0.147706771,5066044
"Connecticut",9422,2634,4074,2639,34,41,NA,NA,6788,0.118750458,0.731774742,0.1494748,3273040
"Delaware",4406,1868,2524,NA,0,5,NA,9,2538,0.239645074,0.654415774,0.105939152,913430
"Florida",78847,30980,37553,9949,NA,NA,365,0,47867,0.180493731,0.690697296,0.128808973,17986115
"Georgia",46669,17041,27514,1914,21,157,16,6,29628,0.333117275,0.557331762,0.109550963,9968000
"Hawaii",4263,912,189,103,13,953,1728,365,3351,0.021539964,0.306547811,0.671912225,1087142
"Idaho",8765,6459,261,1292,337,42,106,268,2306,0.00932795,0.895877041,0.094795009,1685901
"Illinois",27851,8812,15153,3645,37,104,NA,45,19039,0.154983268,0.674369901,0.170646831,11667524
"Indiana",22918,14453,7368,933,48,62,48,NA,8465,0.102147303,0.825635293,0.072217404,6348802
"Iowa",8171,5236,2069,585,184,93,NA,4,2935,0.043828705,0.894866835,0.06130446,3011086
"Kansas",8326,5640,2332,NA,261,82,NA,NA,2686,0.063524767,0.836337992,0.100137241,2657373
"Kentucky",18660,14170,3909,299,18,31,233,NA,4490,0.085054527,0.870982747,0.043962726,4260996
"Louisiana",26377,8968,17303,NA,NA,NA,106,NA,17409,0.333917909,0.606163699,0.059918392,4384380
"Maine",1579,1278,158,NA,52,4,87,52,301,0.01984512,0.953293996,0.026860885,1297649
"Maryland",14694,3328,10551,691,35,55,NA,34,11366,0.319643328,0.528130538,0.152226134,5695323
"Massachusetts",6236,2609,1810,1584,38,103,92,NA,3627,0.076938974,0.762497878,0.160563148,6421050
"Michigan",32114,14574,17020.42,NA,NA,NA,NA,NA,17540,0.145792911,0.78849411,0.065712979,9442016
"Minnesota",7511,3910,2700,NA,693,189,19,NA,3601,0.074323983,0.825094814,0.100581203,5360773
"Mississippi",18967,7086,11568,218,39,46,NA,10,11881,0.38044663,0.581956025,0.037597345,2850547
"Missouri",23417,14872,7810,524,102,61,NA,48,8545,0.121886354,0.82559178,0.052521865,5741742
"Montana",2635,1952,77,NA,597,9,NA,NA,683,0.00541389,0.904806753,0.089779357,1012950
"Nebraska",5585,2819,1559,810,285,44,59,2,2766,0.053118815,0.846319981,0.100561205,1817341
"Nevada",10394,4299,3278,2295,205,294,22,NA,6095,0.114108601,0.594795187,0.291096212,2670605
"New Hampshire",2065,1716,141,115,9,6,43,35,349,0.015484845,0.935694079,0.048821076,1299787
"New Jersey",12492,2771,7662,1941,13,97,8,NA,9721,0.145461809,0.609657146,0.244881045,8385500
"New Mexico",5742,4621,478,NA,527,12,NA,48,1121,0.027077597,0.636437371,0.336485033,1695276
"New York",30724,7162,15047,7366,292,191,666,NA,23562,0.161994503,0.604506801,0.233498696,18433786
"North Carolina",29629,12198,14942,NA,655,97,1601,136,17431,0.220013391,0.667010805,0.112975804,9727667
"North Dakota",1661,934,186,104,419,NA,18,NA,727,0.036332978,0.876259235,0.087407787,737154
"Ohio",43430,22548,19331,NA,NA,NA,1551,NA,20882,0.133006916,0.816749948,0.050243136,11118076
"Oklahoma",21356,11088,6124,1878,2079,90,81,16,10268,0.084017565,0.728699769,0.187282666,3451195
"Oregon",12002,8747,1081,1579,375,183,NA,2,3255,0.021786191,0.835309787,0.142904022,3793917
"Pennsylvania",36528,15618,16986,530,42,105,3247,NA,20910,0.116384025,0.797392441,0.086223534,12228216
"Rhode Island",2142,488,886,714,24,18,14,NA,1654,0.062443689,0.78639192,0.151164391,995585
"South Carolina",15374,5910,9250,NA,NA,NA,477,NA,9464,0.265667631,0.672906437,0.061425932,4820049
"South Dakota",3314,1710,261,133,1173,26,11,NA,1604,0.021240426,0.851588449,0.127171126,840002
"Tennessee",24532,13833,10342,NA,NA,NA,742,NA,10699,0.168199101,0.768079801,0.063721098,6497942
"Texas",119498,40246,38955,39610,NA,NA,687,NA,79252,0.147968994,0.608425236,0.24360577,24011767
"Utah",5925,3490,448,1217,340,198,NA,231,2435,0.013385671,0.859924621,0.126689708,2992603
"Vermont",1283,1099,121,NA,15,4,44,NA,184,0.014906336,0.95330426,0.031789404,606051
"Virginia",24078,9627,13480,720,NA,NA,239,NA,14451,0.20283178,0.657212007,0.139956213,7925686
"Washington",13457,9465,2395,2207,662,581,57,87,3992,0.044778268,0.747008643,0.208213088,6868622
"West Virginia",4608,3981,554,30,7,0,NA,0,627,0.038514793,0.942635413,0.018849794,1708772
"Wisconsin",19948,10490,8236,NA,959,248,NA,15,9458,0.06798762,0.856051226,0.075961153,5534184
"Wyoming",2167,1624,104,255,161,NA,23,NA,543,0.009809178,0.915624566,0.074566255,533378
