"","mt.percent.black","mt.percent.white","mt.percent.other"
"Alabama",0.407617364128851,0.582279367640857,0.0101032682302917
"Alaska",0.0306929348745355,0.555675849264299,0.413631215861166
"Arizona",0.051471271213818,0.56657369650554,0.381955032280642
"Arkansas",0.292977204651601,0.696678225087498,0.0103445702609011
"California",0.171,0.296,0.533
"Colorado",0.0552594515625578,0.659567611576024,0.285172936861419
"Connecticut",0.318022609584839,0.532080099491505,0.149897290923656
"Delaware",0.443621821238159,0.54712479036107,0.00925338840077122
"Florida",0.352,0.614,0.034
"Georgia",0.544425838264175,0.435157255865441,0.0204169058703839
"Hawaii",0.0251897539300055,0.202076554370921,0.772733691699073
"Idaho",0.00778230560824401,0.847408857770099,0.144808836621657
"Illinois",0.451445692888299,0.505077304344589,0.0434770027671119
"Indiana",0.26,0.7,0.04
"Iowa",0.158327319791166,0.810362456889888,0.0313102233189458
"Kansas",0.197473190754767,0.792184202809815,0.0103426064354182
"Kentucky",0.154804104736672,0.836254506349971,0.00894138891335697
"Louisiana",0.526416780276123,0.461446222786319,0.0121369969375578
"Maine",0.039,0.928,0.0329999999999999
"Maryland",0.636027327458264,0.341299584665615,0.0226730878761209
"Massachusetts",0.183535591495944,0.629849788768254,0.186614619735802
"Michigan",0.324604931707613,0.666937829020317,0.00845723927206976
"Minnesota",0.24305187304063,0.723159524535436,0.0337886024239331
"Mississippi",0.525569127265306,0.459857891894742,0.0145729808399515
"Missouri",0.220334493805953,0.770932317649181,0.00873318854486632
"Montana",0.0070830588632162,0.845771469202058,0.147145471934725
"Nebraska",0.167940162339348,0.730311714889814,0.101748122770838
"Nevada",0.256,0.694,0.05
"New Hampshire",0.0469405157519538,0.884002306183681,0.0690571780643648
"New Jersey",0.544453480442744,0.401349850936246,0.0541966686210099
"New Mexico",0.114073092349198,0.725178132036444,0.160748775614358
"New York",0.445331799998703,0.40316264265553,0.151505557345767
"North Carolina",0.422846420224175,0.551360089963777,0.0257934898120483
"North Dakota",0.0277658618827092,0.772010722835255,0.200223415282036
"Ohio",0.272632823878127,0.717002163917185,0.0103650122046881
"Oklahoma",0.237223547276779,0.654766808804406,0.108009643918815
"Oregon",0.0412579261121377,0.809494736976288,0.149247336911575
"Pennsylvania",0.311434670018192,0.660752468568438,0.0278128614133696
"Rhode Island",0.258484491856401,0.548900016888052,0.192615491255547
"South Carolina",0.447910343138647,0.540462701037347,0.0116269558240062
"South Dakota",0.06,0.668,0.272
"Tennessee",0.288178526131734,0.703960491774612,0.00786098209365443
"Texas",0.291,0.373,0.336
"Utah",0.0195955989673269,0.781738135818803,0.19866626521387
"Vermont",0.0841845385473138,0.892205480477411,0.0236099809752755
"Virginia",0.448875736970599,0.535919558164852,0.0152047048645489
"Washington",0.179942857703109,0.752095172322091,0.0679619699748005
"West Virginia",0.10421103169861,0.890342222278463,0.0054467460229274
"Wisconsin",0.241796389224219,0.745486594190611,0.0127170165851701
"Wyoming",0.0120202120465234,0.852739302358271,0.135240485595206
