"State","N_total.SDIS","SDIS.arrestee.prediction","SDIS.offender.prediction","N_total.SDIS.prediction"
"Alabama",360000,140370.194403883,223724.514117681,364094.708521564
"Alaska",NA,56823.9973285442,15069.8974101086,71893.8947386528
"Arizona",NA,100615.218064135,394487.940463064,495103.158527199
"Arkansas",12221,118196.334980065,160286.879300161,278483.214280226
"California",3365402,1257366.56816228,2161147.91296748,3418514.48112976
"Colorado",499170,425225.049661931,215363.629042854,640588.678704785
"Connecticut",20000,4111.78062368682,118309.568380606,122421.349004293
"Delaware",NA,1786.46591331651,7713.17524299209,9499.6411563086
"Florida",1713890,835482.427552446,1066056.34680693,1901538.77435937
"Georgia",347145,0,367240.643227936,367240.643227936
"Hawaii",NA,0,28214.5496782449,28214.5496782449
"Idaho",39000,0,64161.7532435294,64161.7532435294
"Illinois",689297,1462.07240683425,675988.483876574,677450.556283408
"Indiana",449000,177569.769658505,296283.619420305,473853.38907881
"Iowa",NA,6309.73026511833,150321.79141564,156631.521680758
"Kansas",NA,166483.881899458,90967.2222371924,257451.10413665
"Kentucky",NA,8383.6539082623,231750.667390954,240134.321299216
"Louisiana",699618,627831.912314598,118601.739161327,746433.651475925
"Maine",NA,0,32852.9990503184,32852.9990503184
"Maryland",NA,13494.4724443112,112550.840277218,126045.312721529
"Massachusetts",NA,0,175161.521885228,175161.521885228
"Michigan",NA,277247.308355895,376895.314835622,654142.623191518
"Minnesota",180000,0,198707.89744293,198707.89744293
"Mississippi",118000,31952.2554589591,100221.572594728,132173.828053687
"Missouri",400000,100798.108906085,342398.669390501,443196.778296586
"Montana",32284,0,41955.3604620211,41955.3604620211
"Nebraska",NA,2978.21405751234,51758.5249180337,54736.738975546
"Nevada",245000,178719.813454794,89509.106005277,268228.919460071
"New Hampshire",NA,0,15393.452466626,15393.452466626
"New Jersey",32696,0,43060.1406297063,43060.1406297063
"New Mexico",NA,77243.5047915885,60547.5208293503,137791.025620939
"New York",NA,0,696443.924860005,696443.924860005
"North Carolina",350000,51455.5329734938,289935.306464326,341390.839437819
"North Dakota",NA,35876.4323105675,5609.48878886467,41485.9210994321
"Ohio",NA,515390.651075698,500001.829738008,1015392.48081371
"Oklahoma",NA,50190.5076701754,176303.777377671,226494.285047846
"Oregon",NA,1564.32611554384,228968.940641817,230533.266757361
"Pennsylvania",NA,54629.9875845106,475613.425620446,530243.413204957
"Rhode Island",27818,0,21524.2779956426,21524.2779956426
"South Carolina",175629,66180.6382223239,193873.026613318,260053.664835642
"South Dakota",56200,64952.2115589852,19743.0553888401,84695.2669478253
"Tennessee",NA,192076.659455673,264417.348491605,456494.007947278
"Texas",1213618,328027.197511692,979566.966880145,1307594.16439184
"Utah",NA,28981.4053534476,120344.799095604,149326.204449051
"Vermont",NA,0,12941.7598770017,12941.7598770017
"Virginia",509009,3988.16089472727,459491.584841599,463479.745736326
"Washington",272000,0,329495.978236179,329495.978236179
"West Virginia",47444,0,43812.9240611261,43812.9240611261
"Wisconsin",NA,82283.7708296819,351659.375464838,433943.146294519
"Wyoming",NA,0,21364.8954111585,21364.8954111585
